name,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Rora1,7120,6542,4292,8359,3613,6607,5332,15701
Rora2,690,1987,1191,1055,1279,1437,1248,638
Rora3,7598,6688,2605,5157,6360,12221,10309,12176
Rorb1,0,91,0,435,65,12,254,813
Rorb2,2912,2622,365,2101,1336,3465,3244,6101
Rorb3,44,216,65,164,27,60,438,1177
Rorc1,24149,13599,1889,19567,2726,16495,19249,8085
Rorc2,1145,297,601,700,625,770,1562,814
Rorc3,996,839,63,709,314,257,1230,3473
Rxra2,2476,3040,2063,3607,2221,4346,2896,2598
Rxra4,0,0,116,0,0,32,55,220
Rxrb1,1622,1721,472,2136,406,1251,1873,1937
Rxrb2,982,902,362,713,401,1146,713,1495
Rxrb3,201,145,50,27,43,588,238,333
Rxrg1,2625,1435,497,951,590,1525,1871,2636
Rxrg2,2772,1023,1365,1170,2196,2473,3520,1586
Rxrg3,1499,1161,434,2641,589,1760,3021,4408
Scand1-2,3,620,9882,1762,10744,357,6,841
Scand1-3,716,1029,99,685,170,666,867,1783
Scand1-4,2,0,0,2,827,0,213,21
Tgr5-1,815,1375,1017,830,616,3225,1230,1542
Tgr5-2,174,528,345,517,1341,299,519,604
Tgr5-3,79,502,322,136,689,708,403,12
Thra1,639,832,2038,226,847,372,1033,88
Thra3,0,52,0,510,148,63,19,79
Thra5,1372,400,45,312,584,582,879,1707
Thrb1,1144,899,284,1266,174,585,793,2913
Thrb3,1230,95,269,275,340,479,440,72
Thrb4,94,34,16,141,8,19,51,327
Vdr1,4831,4238,810,5185,1460,6148,5697,4865
Vdr2,334,130,59,429,72,1013,159,1162
Vdr3,8,0,190,0,265,4,2,614
