name,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Rarb3,202,50,499,201,129,107,381,3426
Rarg1,20095,31528,20416,36162,31277,14570,18357,24735
Rarg2,535955,123915,15864,93527,77326,89630,281463,168439
Rarg3,5046,6382,5414,10738,4637,8301,6783,10613
Rora1,73989,63863,43741,85696,32851,58762,54188,163901
Rora2,7178,19396,12138,10817,11635,12788,12685,6662
Rora3,78951,65288,26548,52873,57824,108689,104769,127103
Rorb1,1,894,0,4467,597,114,2588,8496
Rorb2,30267,25597,3724,21541,12151,30818,32975,63686
Rorb3,464,2116,666,1689,252,537,4461,12289
Rorc1,250934,132747,19256,200590,24785,146697,195612,84395
Rorc2,11906,2906,6132,7186,5689,6850,15880,8506
Rorc3,10356,8198,643,7270,2856,2291,12508,36261
Rxra2,25734,29674,21026,36977,20195,38659,29432,27121
Rxra4,10,0,1186,0,0,286,563,2305
Rxrb1,16862,16806,4820,21906,3695,11131,19040,20224
Rxrb2,10204,8812,3691,7310,3651,10194,7253,15612
Rxrb3,2093,1425,510,282,396,5233,2424,3483
Rxrg1,27278,14010,5075,9754,5365,13564,19020,27518
Rxrg2,28806,9987,13913,12004,19965,21999,35775,16563
Rxrg3,15586,11341,4426,27075,5361,15658,30706,46013
Scand1-2,33,6059,100712,18068,97677,3177,70,8781
Scand1-3,7443,10047,1017,7032,1554,5923,8817,18621
Scand1-4,27,0,3,22,7522,0,2166,227
Tgr5-1,8474,13425,10365,8516,5601,28681,12504,16100
Tgr5-2,1812,5156,3519,5310,12197,2665,5283,6313
Tgr5-3,828,4908,3283,1402,6270,6302,4096,134
Thra1,6647,8123,20770,2322,7703,3311,10505,919
Thra3,0,515,10,5233,1353,561,196,826
Thra5,14261,3909,460,3206,5312,5181,8941,17819
Thrb1,11897,8783,2896,12983,1587,5204,8066,30413
Thrb3,12784,930,2749,2822,3096,4267,4473,757
Thrb4,979,332,167,1452,79,173,527,3420
Vdr1,50208,41372,8261,53162,13278,54678,57901,50792
Vdr2,3478,1274,608,4407,661,9017,1621,12138
Vdr3,85,0,1939,7,2412,37,23,6417
