name,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Nr4a1-4,0,0,307,28,194,231,5477,766
Nr4a2-6,8453,2767,1529,11409,7289,2396,5603,9482
Nr4a2-7,2468,4167,8830,23919,14,3696,2877,12587
Nr4a3-1,116,2093,1854,1803,2312,561,562,7170
Nr4a3-2,14596,8689,20695,16846,31576,21575,30825,23324
Nr4a3-3,1677,284,1099,11045,6050,4274,6751,6878
Nr5a1-1,41889,32483,56532,20544,36511,34045,37930,77432
Nr5a1-2,46279,21867,4693,6474,19264,2982,28886,45013
Nr5a1-3,5390,20548,26055,107180,45162,39062,17045,33520
Nr5a1-4,0,1788,51,2688,0,0,0,148
Nr5a2-1,3212,1634,6720,3481,10952,2346,4412,4393
Nr5a2-2,520788,336487,640380,228777,497194,340206,1524461,327062
Nr5a2-3,602,127,9393,59741,18537,11490,9737,8872
Nr6a1-1,12673,15752,35346,115457,56808,41124,31526,45780
Nr6a1-2,98,37,124,2193,23,927,272,266
Nr6a1-3,430804,206617,263990,239580,242885,120917,144705,275853
Nr6a1-4,2574,9744,23796,108410,38604,17721,16121,26231
Pgr-1,22247,24889,25981,31215,13484,16795,13247,17759
Pgr-2,2002,1521,678,14575,2326,136,2880,1981
Pgr-3,4,949,2029,13290,2333,3,4,5681
Pgr-4,20364,7212,11683,16120,33492,18778,26667,26062
Pgr-5,294268,106889,90043,135265,97728,87858,106372,101005
Pgr-6,3085,2363,2688,3082,7157,5735,9732,6948
Ppara-1,10889,6472,3541,8176,3085,3597,2513,7065
Ppara-2,6273,13792,31519,25855,26712,39244,10633,14193
Ppara-3,9462,11928,40318,29467,43250,52878,31222,31061
Ppard-1,0,3,13,2223,99,503,1179,1377
Ppard-2,30890,68438,213815,194557,74694,71757,73449,176092
Ppard-3,22,776,314,6169,729,889,16,124
Ppard-4,1032,0,267,23411,2435,7,3617,1988
Ppard-5,536,359,113,6767,1483,286,6974,2944
Ppard-6,1735,1733,1127,16514,2872,5929,3727,3966
Ppard-7,110239,62736,180630,32320,47155,44116,55129,201361
Pparg-1,6923,7352,41392,124097,27500,37207,39472,62263
Pparg-2,22,195,499,573,11,140,203,624
Pparg-3,45675,49190,52747,53778,82427,66820,77366,58411
Pparg-4,307,347,1242,5460,513,3936,282,221
Pparg-5,536,7023,8656,32762,10121,18216,3321,8708
Ppargc1a-1,1224,3102,6717,12873,4399,9148,5120,15066
Ppargc1a-2,10405,7907,36154,100798,60032,60599,44677,39193
Ppargc1a-3,508,2967,12589,7781,10632,14996,2642,9586
Ppargc1b-1,1,4145,243,3563,41,2514,48,2643
Ppargc1b-2,14539,15747,4914,1893,912,4172,4243,14534
Ppargc1b-3,2717,1753,10846,13718,21083,18825,11543,9200
Rara1,1473,4995,7220,9848,16284,12859,14435,10702
Rara2,287,478,1429,7564,2824,929,3586,6180
Rara3,3076,3895,11071,20319,20772,28424,14579,18170
Rara4,73266,50402,69969,87005,91975,67199,100074,119792
Rarb1,51530,112325,185304,192801,168540,203310,115217,111445
Rarb2,25962,12937,71919,120278,87030,37003,76119,102610
Rarb3,499,129,50,3426,381,202,107,201
Rarg1,20416,31277,31528,24735,18357,20095,14570,36162
Rarg2,15864,77326,123915,168439,281463,535955,89630,93527
Rarg3,5414,4637,6382,10613,6783,5046,8301,10738
Rora1,43741,32851,63863,163901,54188,73989,58762,85696
Rora2,12138,11635,19396,6662,12685,7178,12788,10817
Rora3,26548,57824,65288,127103,104769,78951,108689,52873
Rorb1,0,597,894,8496,2588,1,114,4467
Rorb2,3724,12151,25597,63686,32975,30267,30818,21541
Rorb3,666,252,2116,12289,4461,464,537,1689
Rorc1,19256,24785,132747,84395,195612,250934,146697,200590
Rorc2,6132,5689,2906,8506,15880,11906,6850,7186
Rorc3,643,2856,8198,36261,12508,10356,2291,7270
Rxra2,21026,20195,29674,27121,29432,25734,38659,36977
Rxra4,1186,0,0,2305,563,10,286,0
Rxrb1,4820,3695,16806,20224,19040,16862,11131,21906
Rxrb2,3691,3651,8812,15612,7253,10204,10194,7310
Rxrb3,510,396,1425,3483,2424,2093,5233,282
Rxrg1,5075,5365,14010,27518,19020,27278,13564,9754
Rxrg2,13913,19965,9987,16563,35775,28806,21999,12004
Rxrg3,4426,5361,11341,46013,30706,15586,15658,27075
Scand1-2,100712,97677,6059,8781,70,33,3177,18068
Scand1-3,1017,1554,10047,18621,8817,7443,5923,7032
Scand1-4,3,7522,0,227,2166,27,0,22
Tgr5-1,10365,5601,13425,16100,12504,8474,28681,8516
Tgr5-2,3519,12197,5156,6313,5283,1812,2665,5310
Tgr5-3,3283,6270,4908,134,4096,828,6302,1402
Thra1,20770,7703,8123,919,10505,6647,3311,2322
Thra3,10,1353,515,826,196,0,561,5233
Thra5,460,5312,3909,17819,8941,14261,5181,3206
Thrb1,2896,1587,8783,30413,8066,11897,5204,12983
Thrb3,2749,3096,930,757,4473,12784,4267,2822
Thrb4,167,79,332,3420,527,979,173,1452
Vdr1,8261,13278,41372,50792,57901,50208,54678,53162
Vdr2,608,661,1274,12138,1621,3478,9017,4407
Vdr3,1939,2412,0,6417,23,85,37,7
