name,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Nr2e3-4,14185,3183,10760,7314,5729,6829,5984,6793
Nr2e3-5,116,1212,2738,4494,1845,5951,314,2518
Nr2e3-6,104127,195717,121602,21788,51556,27159,112562,38589
Nr2e3-7,5303,7467,5890,8601,12755,7103,3742,9429
Nr2e3-8,21,3070,17714,43,2907,13546,3668,660
Nr2f1-1,2283,7115,5282,7694,2416,9234,2448,10936
Nr2f1-4,30808,26768,12086,40998,72964,59821,2048,39350
Nr2f2-1,3567,6080,16710,14490,6177,7775,4854,13642
Nr2f2-2,22434,2636,11507,941,729,15006,24437,523
Nr2f2-3,6991,36613,56421,37464,40847,60078,15478,34446
Nr2f2-4,4678,4351,2465,1528,79,8272,3726,4556
Nr2f6-1,527,162,2072,3470,176,123,5,667
Nr2f6-2,12323,9055,12475,5327,11856,5315,4730,8224
Nr2f6-3,4518,3653,1299,4640,15240,10433,0,5120
Nr2f6-4,17866,37298,41270,46120,13240,67278,15172,32079
Nr2f6-5,269,1785,76,563,40,976,333,0
Nr3c1-1,16229,18298,21340,15759,17113,13250,15849,23453
Nr3c1-2,1573,1330,1199,2372,9432,7046,892,2212
Nr3c1-3,1166,2611,2661,6575,2905,13560,361,12921
Nr3c2-4,3358,7921,228,562,1142,2579,89,2658
Nr3c2-5,25491,54285,90774,73006,67169,108352,20108,98521
Nr3c2-6,10485,28092,31013,39359,23238,24009,17156,53781
Nr4a1-1,671,5900,2771,3891,4231,9044,1003,3355
Nr4a1-2,54,214,13010,5538,5142,21288,223,5309
Nr4a1-3,28354,16301,29363,24760,24366,11801,33808,25135
Nr4a1-4,0,307,766,5477,231,28,0,194
Nr4a2-6,2767,1529,9482,5603,2396,11409,8453,7289
Nr4a2-7,4167,8830,12587,2877,3696,23919,2468,14
Nr4a3-1,2093,1854,7170,562,561,1803,116,2312
Nr4a3-2,8689,20695,23324,30825,21575,16846,14596,31576
Nr4a3-3,284,1099,6878,6751,4274,11045,1677,6050
Nr5a1-1,32483,56532,77432,37930,34045,20544,41889,36511
Nr5a1-2,21867,4693,45013,28886,2982,6474,46279,19264
Nr5a1-3,20548,26055,33520,17045,39062,107180,5390,45162
Nr5a1-4,1788,51,148,0,0,2688,0,0
Nr5a2-1,1634,6720,4393,4412,2346,3481,3212,10952
Nr5a2-2,336487,640380,327062,1524461,340206,228777,520788,497194
Nr5a2-3,127,9393,8872,9737,11490,59741,602,18537
Nr6a1-1,15752,35346,45780,31526,41124,115457,12673,56808
Nr6a1-2,37,124,266,272,927,2193,98,23
Nr6a1-3,206617,263990,275853,144705,120917,239580,430804,242885
Nr6a1-4,9744,23796,26231,16121,17721,108410,2574,38604
Pgr-1,24889,25981,17759,13247,16795,31215,22247,13484
Pgr-2,1521,678,1981,2880,136,14575,2002,2326
Pgr-3,949,2029,5681,4,3,13290,4,2333
Pgr-4,7212,11683,26062,26667,18778,16120,20364,33492
Pgr-5,106889,90043,101005,106372,87858,135265,294268,97728
Pgr-6,2363,2688,6948,9732,5735,3082,3085,7157
Ppara-1,6472,3541,7065,2513,3597,8176,10889,3085
Ppara-2,13792,31519,14193,10633,39244,25855,6273,26712
Ppara-3,11928,40318,31061,31222,52878,29467,9462,43250
Ppard-1,3,13,1377,1179,503,2223,0,99
Ppard-2,68438,213815,176092,73449,71757,194557,30890,74694
Ppard-3,776,314,124,16,889,6169,22,729
Ppard-4,0,267,1988,3617,7,23411,1032,2435
Ppard-5,359,113,2944,6974,286,6767,536,1483
Ppard-6,1733,1127,3966,3727,5929,16514,1735,2872
Ppard-7,62736,180630,201361,55129,44116,32320,110239,47155
Pparg-1,7352,41392,62263,39472,37207,124097,6923,27500
Pparg-2,195,499,624,203,140,573,22,11
Pparg-3,49190,52747,58411,77366,66820,53778,45675,82427
Pparg-4,347,1242,221,282,3936,5460,307,513
Pparg-5,7023,8656,8708,3321,18216,32762,536,10121
Ppargc1a-1,3102,6717,15066,5120,9148,12873,1224,4399
Ppargc1a-2,7907,36154,39193,44677,60599,100798,10405,60032
Ppargc1a-3,2967,12589,9586,2642,14996,7781,508,10632
Ppargc1b-1,4145,243,2643,48,2514,3563,1,41
Ppargc1b-2,15747,4914,14534,4243,4172,1893,14539,912
Ppargc1b-3,1753,10846,9200,11543,18825,13718,2717,21083
Rara1,4995,7220,10702,14435,12859,9848,1473,16284
Rara2,478,1429,6180,3586,929,7564,287,2824
Rara3,3895,11071,18170,14579,28424,20319,3076,20772
Rara4,50402,69969,119792,100074,67199,87005,73266,91975
Rarb1,112325,185304,111445,115217,203310,192801,51530,168540
Rarb2,12937,71919,102610,76119,37003,120278,25962,87030
Rarb3,129,50,201,107,202,3426,499,381
Rarg1,31277,31528,36162,14570,20095,24735,20416,18357
Rarg2,77326,123915,93527,89630,535955,168439,15864,281463
Rarg3,4637,6382,10738,8301,5046,10613,5414,6783
Rora1,32851,63863,85696,58762,73989,163901,43741,54188
Rora2,11635,19396,10817,12788,7178,6662,12138,12685
Rora3,57824,65288,52873,108689,78951,127103,26548,104769
Rorb1,597,894,4467,114,1,8496,0,2588
Rorb2,12151,25597,21541,30818,30267,63686,3724,32975
Rorb3,252,2116,1689,537,464,12289,666,4461
Rorc1,24785,132747,200590,146697,250934,84395,19256,195612
Rorc2,5689,2906,7186,6850,11906,8506,6132,15880
Rorc3,2856,8198,7270,2291,10356,36261,643,12508
Rxra2,20195,29674,36977,38659,25734,27121,21026,29432
Rxra4,0,0,0,286,10,2305,1186,563
Rxrb1,3695,16806,21906,11131,16862,20224,4820,19040
Rxrb2,3651,8812,7310,10194,10204,15612,3691,7253
Rxrb3,396,1425,282,5233,2093,3483,510,2424
Rxrg1,5365,14010,9754,13564,27278,27518,5075,19020
Rxrg2,19965,9987,12004,21999,28806,16563,13913,35775
Rxrg3,5361,11341,27075,15658,15586,46013,4426,30706
Scand1-2,97677,6059,18068,3177,33,8781,100712,70
Scand1-3,1554,10047,7032,5923,7443,18621,1017,8817
Scand1-4,7522,0,22,0,27,227,3,2166
Tgr5-1,5601,13425,8516,28681,8474,16100,10365,12504
Tgr5-2,12197,5156,5310,2665,1812,6313,3519,5283
Tgr5-3,6270,4908,1402,6302,828,134,3283,4096
Thra1,7703,8123,2322,3311,6647,919,20770,10505
Thra3,1353,515,5233,561,0,826,10,196
Thra5,5312,3909,3206,5181,14261,17819,460,8941
Thrb1,1587,8783,12983,5204,11897,30413,2896,8066
Thrb3,3096,930,2822,4267,12784,757,2749,4473
Thrb4,79,332,1452,173,979,3420,167,527
Vdr1,13278,41372,53162,54678,50208,50792,8261,57901
Vdr2,661,1274,4407,9017,3478,12138,608,1621
Vdr3,2412,0,7,37,85,6417,1939,23
